;Not sorted array;;BubbleSort;;SelectionSort;;InsertSort;;ShellSort;;QuickSort
Time of Sorting(s);;;60.7910000000;;24.3710000000;;14.3970000000;;0.0480000000;;0.0310000000
;41;;0;;0;;0;;0;;0
;8467;;0;;0;;0;;0;;0
;6334;;0;;0;;0;;0;;0
;6500;;0;;0;;0;;0;;0
;9169;;0;;0;;0;;0;;0
;5724;;0;;0;;0;;0;;0
;1478;;0;;0;;0;;0;;0
;9358;;0;;0;;0;;0;;0
;6962;;0;;0;;0;;0;;0
;4464;;0;;0;;0;;0;;0
;5705;;0;;0;;0;;0;;0
;8145;;0;;0;;0;;0;;0
;3281;;0;;0;;0;;0;;0
;6827;;0;;0;;0;;0;;0
;9961;;1;;1;;1;;1;;1
;491;;1;;1;;1;;1;;1
;2995;;1;;1;;1;;1;;1
;1942;;1;;1;;1;;1;;1
;4827;;1;;1;;1;;1;;1
;5436;;1;;1;;1;;1;;1
;2391;;1;;1;;1;;1;;1
;4604;;1;;1;;1;;1;;1
;3902;;1;;1;;1;;1;;1
;153;;1;;1;;1;;1;;1
;292;;1;;1;;1;;1;;1
;2382;;1;;1;;1;;1;;1
;7421;;1;;1;;1;;1;;1
;8716;;1;;1;;1;;1;;1
;9718;;2;;2;;2;;2;;2
;9895;;2;;2;;2;;2;;2
;5447;;2;;2;;2;;2;;2
;1726;;2;;2;;2;;2;;2
;4771;;2;;2;;2;;2;;2
;1538;;2;;2;;2;;2;;2
;1869;;2;;2;;2;;2;;2
;9912;;2;;2;;2;;2;;2
;5667;;2;;2;;2;;2;;2
;6299;;2;;2;;2;;2;;2
;7035;;2;;2;;2;;2;;2
;9894;;2;;2;;2;;2;;2
;8703;;3;;3;;3;;3;;3
;3811;;3;;3;;3;;3;;3
;1322;;3;;3;;3;;3;;3
;333;;3;;3;;3;;3;;3
;7673;;3;;3;;3;;3;;3
;4664;;3;;3;;3;;3;;3
;5141;;3;;3;;3;;3;;3
;7711;;3;;3;;3;;3;;3
;8253;;3;;3;;3;;3;;3
