;Not sorted array;;BubbleSort;;SelectionSort;;InsertSort;;ShellSort;;QuickSort
Time of Sorting(s);;;0.6850000000;;0.2720000000;;0.1640000000;;0.0030000000;;0.0040000000
;41;;0;;0;;0;;0;;0
;8467;;0;;0;;0;;0;;0
;6334;;2;;2;;2;;2;;2
;6500;;3;;3;;3;;3;;3
;9169;;3;;3;;3;;3;;3
;5724;;3;;3;;3;;3;;3
;1478;;4;;4;;4;;4;;4
;9358;;4;;4;;4;;4;;4
;6962;;6;;6;;6;;6;;6
;4464;;8;;8;;8;;8;;8
;5705;;8;;8;;8;;8;;8
;8145;;9;;9;;9;;9;;9
;3281;;12;;12;;12;;12;;12
;6827;;12;;12;;12;;12;;12
;9961;;12;;12;;12;;12;;12
;491;;12;;12;;12;;12;;12
;2995;;14;;14;;14;;14;;14
;1942;;16;;16;;16;;16;;16
;4827;;16;;16;;16;;16;;16
;5436;;17;;17;;17;;17;;17
;2391;;20;;20;;20;;20;;20
;4604;;20;;20;;20;;20;;20
;3902;;21;;21;;21;;21;;21
;153;;21;;21;;21;;21;;21
;292;;22;;22;;22;;22;;22
;2382;;24;;24;;24;;24;;24
;7421;;24;;24;;24;;24;;24
;8716;;26;;26;;26;;26;;26
;9718;;27;;27;;27;;27;;27
;9895;;28;;28;;28;;28;;28
;5447;;28;;28;;28;;28;;28
;1726;;28;;28;;28;;28;;28
;4771;;30;;30;;30;;30;;30
;1538;;31;;31;;31;;31;;31
;1869;;31;;31;;31;;31;;31
;9912;;31;;31;;31;;31;;31
;5667;;32;;32;;32;;32;;32
;6299;;32;;32;;32;;32;;32
;7035;;33;;33;;33;;33;;33
;9894;;35;;35;;35;;35;;35
;8703;;35;;35;;35;;35;;35
;3811;;36;;36;;36;;36;;36
;1322;;36;;36;;36;;36;;36
;333;;37;;37;;37;;37;;37
;7673;;37;;37;;37;;37;;37
;4664;;37;;37;;37;;37;;37
;5141;;38;;38;;38;;38;;38
;7711;;39;;39;;39;;39;;39
;8253;;39;;39;;39;;39;;39
;6868;;39;;39;;39;;39;;39
;5547;;40;;40;;40;;40;;40
;7644;;40;;40;;40;;40;;40
;2662;;40;;40;;40;;40;;40
;2757;;41;;41;;41;;41;;41
;37;;41;;41;;41;;41;;41
;2859;;41;;41;;41;;41;;41
;8723;;41;;41;;41;;41;;41
;9741;;42;;42;;42;;42;;42
;7529;;42;;42;;42;;42;;42
;778;;43;;43;;43;;43;;43
;2316;;44;;44;;44;;44;;44
;3035;;45;;45;;45;;45;;45
;2190;;47;;47;;47;;47;;47
;1842;;47;;47;;47;;47;;47
;288;;48;;48;;48;;48;;48
;106;;48;;48;;48;;48;;48
;9040;;48;;48;;48;;48;;48
;8942;;49;;49;;49;;49;;49
;9264;;50;;50;;50;;50;;50
;2648;;50;;50;;50;;50;;50
;7446;;53;;53;;53;;53;;53
;3805;;53;;53;;53;;53;;53
;5890;;53;;53;;53;;53;;53
;6729;;53;;53;;53;;53;;53
;4370;;53;;53;;53;;53;;53
;5350;;55;;55;;55;;55;;55
;5006;;57;;57;;57;;57;;57
;1101;;57;;57;;57;;57;;57
;4393;;57;;57;;57;;57;;57
;3548;;57;;57;;57;;57;;57
;9629;;57;;57;;57;;57;;57
;2623;;58;;58;;58;;58;;58
;4084;;58;;58;;58;;58;;58
;9954;;59;;59;;59;;59;;59
;8756;;61;;61;;61;;61;;61
;1840;;62;;62;;62;;62;;62
;4966;;65;;65;;65;;65;;65
;7376;;65;;65;;65;;65;;65
;3931;;65;;65;;65;;65;;65
;6308;;66;;66;;66;;66;;66
;6944;;66;;66;;66;;66;;66
;2439;;67;;67;;67;;67;;67
