Search data
Key;44
Time search;0.0000000000
Position;60

Sort data
;Index;Not sorted array;;Sorted array
Time of Sorting(s);;;;0.9960000000
;0;41;;0
;1;8467;;0
;2;6334;;2
;3;6500;;3
;4;9169;;3
;5;5724;;3
;6;1478;;4
;7;9358;;4
;8;6962;;6
;9;4464;;8
;10;5705;;8
;11;8145;;9
;12;3281;;12
;13;6827;;12
;14;9961;;12
;15;491;;12
;16;2995;;14
;17;1942;;16
;18;4827;;16
;19;5436;;17
;20;2391;;20
;21;4604;;20
;22;3902;;21
;23;153;;21
;24;292;;22
;25;2382;;24
;26;7421;;24
;27;8716;;26
;28;9718;;27
;29;9895;;28
;30;5447;;28
;31;1726;;28
;32;4771;;30
;33;1538;;31
;34;1869;;31
;35;9912;;31
;36;5667;;32
;37;6299;;32
;38;7035;;33
;39;9894;;35
;40;8703;;35
;41;3811;;36
;42;1322;;36
;43;333;;37
;44;7673;;37
;45;4664;;37
;46;5141;;38
;47;7711;;39
;48;8253;;39
;49;6868;;39
;50;5547;;40
;51;7644;;40
;52;2662;;40
;53;2757;;41
;54;37;;41
;55;2859;;41
;56;8723;;41
;57;9741;;42
;58;7529;;42
;59;778;;43
;60;2316;;44
;61;3035;;45
;62;2190;;47
;63;1842;;47
;64;288;;48
;65;106;;48
;66;9040;;48
;67;8942;;49
;68;9264;;50
;69;2648;;50
;70;7446;;53
;71;3805;;53
;72;5890;;53
;73;6729;;53
;74;4370;;53
;75;5350;;55
;76;5006;;57
;77;1101;;57
;78;4393;;57
;79;3548;;57
;80;9629;;57
;81;2623;;58
;82;4084;;58
;83;9954;;59
;84;8756;;61
;85;1840;;62
;86;4966;;65
;87;7376;;65
;88;3931;;65
;89;6308;;66
;90;6944;;66
;91;2439;;67
;92;4626;;67
;93;1323;;67
;94;5537;;70
;95;1538;;70
;96;6118;;71
;97;2082;;72
;98;2929;;72
;99;6541;;72
;100;4833;;73
;101;1115;;73
;102;4639;;74
;103;9658;;75
;104;2704;;75
;105;9930;;75
;106;3977;;76
;107;2306;;77
;108;1673;;78
;109;2386;;79
;110;5021;;80
;111;8745;;80
;112;6924;;80
;113;9072;;80
;114;6270;;83
;115;5829;;83
;116;6777;;83
;117;5573;;83
;118;5097;;84
;119;6512;;84
;120;3986;;85
;121;3290;;88
;122;9161;;88
;123;8636;;89
;124;2355;;89
;125;4767;;90
;126;3655;;90
;127;5574;;90
;128;4031;;93
;129;2052;;93
;130;7350;;95
;131;1150;;96
;132;6941;;98
;133;1724;;99
;134;3966;;101
;135;3430;;101
;136;1107;;101
;137;191;;101
;138;8007;;102
;139;1337;;102
;140;5457;;102
;141;2287;;103
;142;7753;;103
;143;383;;103
;144;4945;;104
;145;8909;;106
;146;2209;;106
;147;9758;;106
;148;4221;;106
;149;8588;;106
;150;6422;;109
;151;4946;;111
;152;7506;;112
;153;3030;;113
;154;6413;;113
;155;9168;;114
;156;900;;116
;157;2591;;117
;158;8762;;118
;159;1655;;118
;160;7410;;119
;161;6359;;119
;162;7624;;120
;163;537;;121
;164;1548;;121
;165;6483;;122
;166;7595;;123
;167;4041;;123
;168;3602;;124
;169;4350;;127
;170;291;;127
;171;836;;128
;172;9374;;129
;173;1020;;129
;174;4596;;130
;175;4021;;130
;176;7348;;132
;177;3199;;132
;178;9668;;132
;179;4484;;133
;180;8281;;134
;181;4734;;134
;182;53;;134
;183;1999;;135
;184;6418;;135
;185;7938;;136
;186;6900;;137
;187;3788;;137
;188;8127;;137
;189;467;;138
;190;3728;;139
;191;4893;;139
;192;4648;;139
;193;2483;;140
;194;7807;;141
;195;2421;;142
;196;4310;;142
;197;6617;;142
;198;2813;;142
;199;9514;;142
;200;4309;;142
;201;7616;;143
;202;8935;;144
;203;7451;;144
;204;600;;144
;205;5249;;145
;206;6519;;146
;207;1556;;146
;208;2798;;146
;209;303;;148
;210;6224;;148
;211;1008;;148
;212;5844;;148
;213;2609;;149
;214;4989;;149
;215;2702;;150
;216;3195;;153
;217;485;;153
;218;3093;;154
;219;4343;;155
;220;523;;158
;221;1587;;159
;222;9314;;159
;223;9503;;159
;224;7448;;160
;225;5200;;162
;226;3458;;163
;227;6618;;165
;228;580;;165
;229;9796;;167
;230;4798;;168
;231;5281;;168
;232;9589;;168
;233;798;;168
;234;8009;;169
;235;7157;;169
;236;472;;169
;237;3622;;170
;238;8538;;170
;239;2292;;170
;240;6038;;171
;241;4179;;173
;242;8190;;174
;243;9657;;175
;244;7958;;175
;245;6191;;175
;246;9815;;176
;247;2888;;178
;248;9156;;178
;249;1511;;180
;250;6202;;180
;251;2634;;180
;252;4272;;182
;253;55;;183
;254;328;;183
;255;2646;;183
;256;6362;;183
;257;4886;;183
;258;8875;;184
;259;8433;;184
;260;9869;;185
;261;142;;187
;262;3844;;188
;263;1416;;189
;264;1881;;189
;265;1998;;189
;266;322;;189
;267;8651;;189
;268;21;;189
;269;5699;;190
;270;3557;;191
;271;8476;;191
;272;7892;;193
;273;4389;;193
;274;5075;;193
;275;712;;194
;276;2600;;195
;277;2510;;195
;278;1003;;195
;279;6869;;198
;280;7861;;199
;281;4688;;199
;282;3401;;201
;283;9789;;202
;284;5255;;202
;285;6423;;202
;286;5002;;203
;287;585;;204
;288;4182;;204
;289;285;;205
;290;7088;;205
;291;1426;;208
;292;8617;;209
;293;3757;;211
;294;9832;;212
;295;932;;212
;296;4169;;213
;297;2154;;215
;298;5721;;216
;299;7189;;216
;300;9976;;216
;301;1329;;217
;302;2368;;219
;303;8692;;221
;304;1425;;222
;305;555;;223
;306;3434;;224
;307;6549;;224
;308;7441;;225
;309;9512;;226
;310;145;;227
;311;8060;;227
;312;1718;;227
;313;3753;;228
;314;6139;;229
;315;2423;;229
;316;6279;;231
;317;5996;;231
;318;6687;;234
;319;2529;;235
;320;2549;;236
;321;7437;;236
;322;9866;;237
;323;2949;;237
;324;193;;238
;325;3195;;238
;326;3297;;238
;327;416;;241
;328;8286;;241
;329;6105;;242
;330;4488;;245
;331;6282;;245
;332;2455;;248
;333;5734;;250
;334;8114;;252
;335;1701;;253
;336;1316;;253
;337;671;;253
;338;5786;;258
;339;2263;;258
;340;4313;;259
;341;4355;;259
;342;1185;;259
;343;53;;259
;344;912;;259
;345;808;;260
;346;1832;;260
;347;945;;263
;348;4313;;264
;349;7756;;265
;350;8321;;267
;351;9558;;267
;352;3646;;268
;353;7982;;268
;354;481;;268
;355;4144;;268
;356;3196;;269
;357;222;;270
;358;7129;;270
;359;2161;;270
;360;5535;;270
;361;450;;271
;362;1173;;272
;363;466;;273
;364;2044;;274
;365;1659;;276
;366;6292;;278
;367;6439;;278
;368;7253;;279
;369;24;;280
;370;6154;;282
;371;9510;;282
;372;4745;;283
;373;649;;284
;374;3186;;284
;375;8313;;285
;376;4474;;285
;377;8022;;285
;378;2168;;287
;379;4018;;287
;380;8787;;288
;381;9905;;288
;382;7958;;289
;383;7391;;289
;384;202;;290
;385;3625;;291
;386;6477;;292
;387;4414;;293
;388;9314;;293
;389;5824;;293
;390;9334;;297
;391;5874;;297
;392;4372;;298
;393;159;;299
;394;1833;;300
;395;8070;;300
;396;7487;;300
;397;8297;;301
;398;7518;;301
;399;8177;;302
;400;7773;;303
;401;2270;;303
;402;1763;;304
;403;2668;;304
;404;7192;;305
;405;3985;;307
;406;3102;;308
;407;8480;;308
;408;9213;;309
;409;7627;;309
;410;4802;;309
;411;4099;;311
;412;527;;311
;413;2625;;312
;414;1543;;313
;415;1924;;313
;416;1023;;315
;417;9972;;316
;418;3061;;318
;419;4181;;318
;420;1003;;319
;421;7432;;320
;422;7505;;320
;423;7593;;322
;424;2725;;323
;425;3031;;323
;426;8492;;323
;427;142;;324
;428;7222;;326
;429;1286;;326
;430;3064;;328
;431;7900;;328
;432;9187;;330
;433;8360;;333
;434;2413;;333
;435;974;;333
;436;4270;;333
;437;9170;;333
;438;235;;335
;439;833;;335
;440;9711;;335
;441;5760;;336
;442;8896;;337
;443;4667;;337
;444;7285;;337
;445;2550;;338
;446;140;;339
;447;3694;;340
;448;2695;;340
;449;1624;;341
;450;8019;;342
;451;2125;;342
;452;6576;;344
;453;1694;;345
;454;2658;;348
;455;6302;;350
;456;7371;;350
;457;2466;;350
;458;4678;;351
;459;2593;;353
;460;3851;;353
;461;5484;;353
;462;1018;;354
;463;8464;;355
;464;1119;;356
;465;3152;;357
