Search data
Key;41
Time search;0.0000000000
Position;98

Sort data
;Not sorted array;;Sorted array
Time of Sorting(s);;;0.0010000000
0;41;;9961
1;8467;;9954
2;6334;;9912
3;6500;;9895
4;9169;;9894
5;5724;;9741
6;1478;;9718
7;9358;;9629
8;6962;;9358
9;4464;;9264
10;5705;;9169
11;8145;;9040
12;3281;;8942
13;6827;;8756
14;9961;;8723
15;491;;8716
16;2995;;8703
17;1942;;8467
18;4827;;8253
19;5436;;8145
20;2391;;7711
21;4604;;7673
22;3902;;7644
23;153;;7529
24;292;;7446
25;2382;;7421
26;7421;;7376
27;8716;;7035
28;9718;;6962
29;9895;;6944
30;5447;;6868
31;1726;;6827
32;4771;;6729
33;1538;;6541
34;1869;;6500
35;9912;;6334
36;5667;;6308
37;6299;;6299
38;7035;;6118
39;9894;;5890
40;8703;;5724
41;3811;;5705
42;1322;;5667
43;333;;5547
44;7673;;5537
45;4664;;5447
46;5141;;5436
47;7711;;5350
48;8253;;5141
49;6868;;5006
50;5547;;4966
51;7644;;4827
52;2662;;4771
53;2757;;4664
54;37;;4626
55;2859;;4604
56;8723;;4464
57;9741;;4393
58;7529;;4370
59;778;;4084
60;2316;;3931
61;3035;;3902
62;2190;;3811
63;1842;;3805
64;288;;3548
65;106;;3281
66;9040;;3035
67;8942;;2995
68;9264;;2929
69;2648;;2859
70;7446;;2757
71;3805;;2662
72;5890;;2648
73;6729;;2623
74;4370;;2439
75;5350;;2391
76;5006;;2382
77;1101;;2316
78;4393;;2190
79;3548;;2082
80;9629;;1942
81;2623;;1869
82;4084;;1842
83;9954;;1840
84;8756;;1726
85;1840;;1538
86;4966;;1538
87;7376;;1478
88;3931;;1323
89;6308;;1322
90;6944;;1101
91;2439;;778
92;4626;;491
93;1323;;333
94;5537;;292
95;1538;;288
96;6118;;153
97;2082;;106
98;2929;;41
99;6541;;37
